item	category	reason	owner	closing_gate
/ADInterface::SoapCompatibilityRouter::/services/*	route-excluded	Phase 4 SOAP surface; already frozen by org.adempiere.webservice/contracts/xfire-v1/ and gated by phase4InstalledApi. Excluded by assertion, not by omission.	phase-4-soap	phase4FinalVerification
/ADInterface::SoapCompatibilityRouter::/servlet/XFireServlet/*	route-excluded	Phase 4 SOAP surface; already frozen by org.adempiere.webservice/contracts/xfire-v1/ and gated by phase4InstalledApi. Excluded by assertion, not by omission.	phase-4-soap	phase4FinalVerification
not-phase3-deployed-routes	route-excluded	30 routes in gradle/phase5/route-contracts.tsv are declared in descriptors that the Phase 3 installed product does not deploy. They cannot be captured because they are not served. Asserted as not-deployed rather than silently skipped.	phase-5c	verifyPhase5OracleCoverage
session-timeout-60-minutes	not-http-observable	zkwebui/WEB-INF/web.xml:82-84 sets a 60-minute session timeout. A smoke cannot prove it without waiting an hour, so it is recorded in session-static-config.tsv as source-inspected rather than asserted at runtime.	phase-5e	phase5e-session-gate
session-manager-listener-cleanup	not-http-observable	SessionManagerListener clears internal caches on session destruction. The effect is internal state with no defined external HTTP consequence on this runtime, so it cannot be part of a protocol-level oracle.	phase-5e	phase5e-session-gate
cookie-secure-attribute	not-http-observable	The capture runs against a loopback HTTP endpoint, where Secure-cookie behaviour is not meaningfully characterizable. The observed absence of Secure and SameSite on JSESSIONID is recorded in session-http-observed.tsv as a frozen negative fact for Phase 5e to decide on.	phase-5e	phase5e-session-gate
comet-server-push	capture-excluded	zkwebui/WEB-INF/zk.xml:47-54 selects CometServerPush. The capture driver never opens a push channel, so push-originated commands cannot enter the oracle. Any Phase 5c behaviour that depends on server push is therefore out of this oracle's scope.	phase-5c	phase5c-ui-gate
/::AdRedirector::/AdRedirector	known-defect-frozen	A bare GET returns HTTP 500 "Unknown or illegal Ad set, can't handle request". The refusal is intentional but the status is wrong; a missing parameter is a client error. The status is frozen so a Phase 5c change is still detected, but it is registered here so the defect is not mistaken for a correctness target to preserve.	phase-5e	phase5e-route-review
/::Community::/communityServlet	known-defect-frozen	A bare GET returns HTTP 500 from an unhandled java.lang.IllegalArgumentException: No Transaction Name. This is a genuine defect, not a deliberate refusal. Frozen for change detection only; it must not be treated as behaviour to preserve.	phase-5e	phase5e-route-review
/::XMLBroadcast::/xml/*	known-defect-frozen	A bare GET to the mapping prefix returns HTTP 500. Frozen for change detection only.	phase-5e	phase5e-route-review
/wstore::PaymentServlet::/paymentServlet	known-defect-frozen	A bare GET returns HTTP 500 with no diagnostic message. Frozen for change detection only.	phase-5e	phase5e-route-review
shipped-build-and-source-artifacts	packaging-finding	The installed WARs ship non-web build and source artifacts outside WEB-INF and therefore reachable over HTTP: images/ImageFactory.java and images/WebImageFactory.java (adempiere.war, mobile.war), RUN_build.bat and images/FastBack24.bak and theme/default/images/zul/grid/hd-btn.pdn (webui.war), window_files/themedata.thmx and six del/*_del entries (adempiere.war). Phase 5b changes no packaging, so these are recorded rather than removed.	phase-5e	phase5e-packaging-review
static-asset-contract-sampling	sampling-rule	1574 entries classify as http-addressable-static. The static asset contract pins every entry's digest from the WAR inventory, but only fetches a deterministic sample over HTTP, because fetching all of them on every smoke would dominate the gate's runtime. The sampling rule and its seed are recorded in static-asset-contract.tsv.	phase-5b	verifyPhase5OracleCoverage
war-envelope-checksums	non-reproducible	Ant stamps ZIP central-directory metadata, so WAR and nested-JAR envelope checksums are not reproducible across builds. Envelope digests are recorded as informational only; the enforced pin is the recursive canonical content digest. Repo-wide artifact reproducibility remains Phase 7's concern.	phase-7	phase7-reproducibility-gate
adempiere-and-mobile-static-assets-shadowed	packaging-finding	The /adempiere and /mobile contexts answer every path from a single catch-all handler: two distinct non-existent paths return byte-identical HTTP 200 bodies. Their packaged http-addressable-static entries are therefore never actually served. static-asset-contract.tsv records this as the disposition shadowed-by-catch-all-servlet rather than as a digest mismatch, so the negative fact is frozen. Phase 5b changes no mapping.	phase-5e	phase5e-packaging-review
jnlp-templates-embed-request-host	dynamic-content	/admin/adempiere.jnlp and /admin/adempiereHome/adempiereDirect.jnlp substitute the request host and port into codebase and href, so their served bytes differ from the packaged entry. The static asset contract normalizes the capture host:port to <ORACLE-HOST-PORT> before digesting and records the disposition served-differs, so the templates remain change-detecting without pinning the capture endpoint.	phase-5b	verifyPhase5OracleCoverage
war-manifest-build-stamp	non-reproducible	Ant writes a YYYYMMDD-HHMM build minute into Implementation-Version in every generated META-INF/MANIFEST.MF. That is archive content, not ZIP envelope metadata, so recursive content hashing alone is not reproducible: two clean builds agree only when they land in the same minute. The canonical digest replaces that single token with <BUILD-STAMP> and records the entry kind as file-build-stamp-normalized. Every other manifest attribute still participates.	phase-7	phase7-reproducibility-gate
admin-war-signed-client-payload	non-reproducible	admin.war ships the code-signed desktop client (adempiereHome/Adempiere.jar, AdempiereCLib.jar, CompiereJasperReqs.jar and the AdempiereClient.zip that bundles them). A JCE signature is nondeterministic, so these entries differ on every build from byte-identical inputs. They are pinned per entry as not-reproducible-code-signed and excluded from admin.war's enforced entry-set digest. Verified across two independent clean builds.	phase-7	phase7-reproducibility-gate
admin-war-jnlp-installation-config	not-source-derived	admin.war's adempiere.jnlp and adempiereHome/adempiereDirect.jnlp embed the installer's encrypted database connection string, so their content depends on the target environment rather than on the source tree and cannot be reproduced from a source commit. Pinned as not-reproducible-installation-configured and excluded from the enforced entry-set digest.	phase-5e	phase5e-packaging-review
context-reachability-only-vectors	route-coverage-weak	Servlet filters mapped at /* (adempiere WFilter, mobile WFilter, webui requestFilter, wstore WebStoreFilter) have no independently addressable URL: every request to their context passes through them, so no request vector can isolate one filter. They are covered indirectly through the representative servlet vectors in the same context and recorded as context-reachability-only rather than claimed as exact servlet dispatch. Phase 5c gains real per-filter proof once browser-level semantic snapshots exist.	phase-5c	phase5c-browser-semantic-gate
