work_package,roadmap_ref,scope,estimate_basis,pr_low,pr_base,pr_high,credits_low,credits_base,credits_high,solo_weeks_low,solo_weeks_base,solo_weeks_high,reuse_low_scenario_pct,reuse_base_scenario_pct,reuse_high_scenario_pct,confidence,blocked_by,notes
5g-1c,MODERNIZATION_PLAN.md#phase-5g-decomposition-and-active-scope,Sales Order draft through Complete without accounting,Completed Business Partner oracle/parity sequence adjusted for document transition and reservation/tax effects,2,4,7,24000,38000,58000,1,2,4,65,45,25,medium,5g-1c-oracle captured reviewed and merged,The oracle is named but not yet captured; base includes one amendment or correction increment.
5g-1d,MODERNIZATION_PLAN.md#phase-5g-decomposition-and-active-scope,Explicit Post Immediate action and balanced Fact_Acct,Completed Business Partner sequence plus accounting dimensions balancing and posting controls,3,5,8,30000,48000,72000,1.5,2.5,5,60,40,20,medium-low,5g-1c complete and a posting oracle captured reviewed and merged,Accounting is deliberately separate from document completion and requires a reviewed open-period fixture.
5g-1e,MODERNIZATION_PLAN.md#phase-5g-decomposition-and-active-scope,One named non-report dictionary process with parameters logs and completion signal,Completed Business Partner process/workflow attribution work narrowed to the named process fixture,2,4,6,18000,30000,46000,0.75,1.5,3,70,50,30,medium,5g-1d complete and a process oracle captured reviewed and merged,The named process inventory reduces discovery risk but synchronous web execution and context cleanup remain behavior-specific.
5g-1f,MODERNIZATION_PLAN.md#phase-5g-decomposition-and-active-scope,Callout-bearing write parity beginning with C_BPartner_Location,Completed Business Partner write sequence adjusted for callout execution and the 174-column inventory,2,5,9,24000,42000,70000,1,2,4,60,40,20,medium-low,5g-1e complete and a callout oracle captured reviewed and merged,One representative callout is required for the roadmap claim; broader inventory findings can create follow-up increments.
5g-2,MODERNIZATION_PLAN.md#phase-5g-decomposition-and-active-scope,Report viewer PDF print and deferred Jasper mappings,API and web contract work adjusted for binary rendering viewer behavior and report fixtures,3,6,10,28000,50000,85000,1.5,3,6,55,35,15,low,5g-1f complete and a report oracle captured reviewed and merged,Interactive Jasper viewing and binary output are distinct proof surfaces and may need separate parity corrections.
5g-3,MODERNIZATION_PLAN.md#phase-5g-decomposition-and-active-scope,Upload download attachment import image PDF and archive flows,Phase 5f bounded-transfer work plus Business Partner public-origin parity harness,2,4,7,20000,36000,60000,1,2,4,70,50,30,medium,5g-2 complete and a byte-stream oracle captured reviewed and merged,Existing byte caps are reusable but persistence content type filename and retrieval semantics are behavior-specific.
5g-4,MODERNIZATION_PLAN.md#phase-5g-decomposition-and-active-scope,Dashboard activities recent items and polling replacement for server push,Phase 5e session work adjusted for polling lifecycle ordering and dashboard state,2,5,8,24000,42000,70000,1,2.5,5,60,40,20,medium-low,5g-3 complete and a dashboard oracle captured reviewed and merged,The transport decision is fixed but update timing session cleanup and stale data behavior require new evidence.
5g-5,MODERNIZATION_PLAN.md#phase-5g-decomposition-and-active-scope,Extension and plugin parity against the Phase 5g-0 inventory,Phase 5g inventory work with broad extension-specific fixture and compatibility uncertainty,3,7,12,30000,60000,110000,2,4,8,45,25,10,low,5g-4 complete and extension oracles captured reviewed and merged,This is a portfolio-sized row rather than one uniform flow; production ownership can widen or narrow the accepted scope.
5g-6,MODERNIZATION_PLAN.md#phase-5g-decomposition-and-active-scope,POS parity,Phase 2 Swing smoke and Phase 5 browser parity adjusted for a separate transaction-heavy UI domain,3,6,10,30000,55000,95000,1.5,3.5,7,50,30,10,low,5g-5 complete and a POS oracle captured reviewed and merged,POS has distinct workflows peripherals and extension interactions; repository evidence does not establish production usage breadth.
5g-7,MODERNIZATION_PLAN.md#phase-5g-decomposition-and-active-scope,Phase 5g exit roll-up including visual performance rollback context dispositions and full CI,Phase 5f finalization and demo hardening adjusted for several independent exit criteria,4,8,14,25000,50000,90000,2,4,8,55,35,15,low,5g-6 complete and exit evidence oracles or thresholds approved,This is explicitly a multi-part exit programme rather than one oracle/parity pair.
5h,MODERNIZATION_PLAN.md#phase-5-zkjakarta-web-transition-t-shirt-size-xl,Final source-native Jakarta ingress and retirement of Tomcat 9 transformer router and ZK 3.6,Phase 4 cutover and Phase 5 coexistence removal with complete dependent-set and rollback requirements,3,5,8,25000,50000,90000,1.5,3,6,50,30,10,low,5g-7 complete and disabled-context dispositions closed,No direct completed analogue exists; estimate is analogy-based and retains a wide band.
6,MODERNIZATION_PLAN.md#phase-6-database-platform-and-observability-upgrade-t-shirt-size-xl,PostgreSQL 16 migration and observability,Phase 2 and Phase 3 disposable database work expanded to a durable major migration rehearsal and telemetry,4,7,12,35000,70000,130000,4,8,16,20,10,0,low,Phase 5 merged and production-like sanitized data available,Customer production rollout is excluded but the repository roadmap still requires the migration tooling rehearsal and observable seam gates.
7,MODERNIZATION_PLAN.md#phase-7-build-consolidation-and-legacy-retirement-t-shirt-size-l,Gradle build consolidation release parity and evidence-based legacy retirement,Phase 1 and Phase 3 build work expanded to sole-authority release production and removal gates,4,8,14,35000,75000,140000,4,8,16,25,10,0,low,Phase 6 merged and usage decisions approved,No direct completed analogue exists; artifact parity and dependent-set completeness make this more than a build-file conversion.
