# path	disposition	rationale
ARCHITECTURE.md	retain-evidence	Keep the historical architecture and migration decision explicit.
docs/modernization/phase-4-evidence.md	retain-evidence	Retain the approved legacy oracle, rollback, and removal evidence.
docs/modernization/phase-4-transitional-state.md	retain-evidence	Record the now-closed T4-1 dual-runtime state and controls.
docs/modernization/phase-5a-evidence.md	retain-evidence	Retain evidence that Phase 5 route ownership handoff preserves the completed XFire removal gate.
docs/modernization/phase-5e-evidence.md	retain-evidence	Phase 5e records that the Phase 4 SOAP corpus still passes under routed modern sessions; the reference is historical, not an active dependency.
gradle/phase4/contracts.gradle	migrate	Retain frozen-oracle tasks as historical evidence and enforce active XFire absence.
gradle/phase4/route-classes.tsv	migrate	Preserve the historical public XFireServlet URL as a CXF-only router alias.
gradle/phase5/route-contracts.tsv	migrate	Preserve the historical public XFireServlet URL as a Phase 4-owned CXF-only router alias during the Phase 5 route handoff.
gradle/phase2/jdk-internals.tsv	retain-evidence	Retain the classified legacy oracle module flag as historical evidence.
MODERNIZATION_PLAN.md	retain-evidence	Keep the completed XFire-to-CXF roadmap decisions and status.
org.adempiere.webservice/build.gradle	retain-evidence	Keep XFire as a forbidden transport-neutral dependency.
org.adempiere.webservice/contracts/xfire-v1/normalization-policy.md	retain-evidence	Retain the approved XFire oracle normalization policy.
org.adempiere.webservice/contracts/xfire-v1/operations.tsv	retain-evidence	Retain the authoritative operation inventory and legacy endpoint evidence.
org.adempiere.webservice/Notes/HowToAddNewWebService.txt	retain-evidence	Reference the frozen XFire-versioned contract corpus from current CXF authoring guidance.
org.adempiere.webservice/build.xml	migrate	Package only the frozen XFire-versioned static WSDL resources in the CXF-only compatibility WAR.
org.adempiere.webservice/src/router/java/org/adempiere/webservice/router/SoapCompatibilityRouter.java	migrate	Retain the historical public alias and reject any retired XFire target audit.
org.adempiere.webservice/WEB-INF/web.xml	migrate	Preserve the public XFireServlet URL alias while routing only to CXF.
README.md	retain-evidence	Keep the modernization history while documenting the active CXF runtime.
scripts/phase4/smoke-xfire-oracle.sh	retain-evidence	Retain the approved rollback-oracle harness without active packaging.
scripts/phase4/smoke-cxf-api.sh	retain-evidence	Retain XFire-free replay assertions and frozen-oracle paths.
scripts/phase4/smoke-compatibility-router.sh	migrate	Verify CXF-only routing through both historical public paths.
scripts/phase4/verify-installed-api.sh	migrate	Reject XFire artifacts and publication from the installed compatibility WAR.
scripts/phase4/verify-modern-soap-war.sh	retain-evidence	Retain the XFire absence gate for the modern deployable.
scripts/phase4/verify-release-api.sh	migrate	Reject XFire artifacts and publication from both release archives.
contracts/legacy-web-v1/oracle-exclusions.tsv	retain-evidence	Records the two /ADInterface routes as Phase 4-owned and points at the frozen xfire-v1 contract tree, so the Phase 5b oracle excludes the SOAP surface by assertion rather than by omission.
scripts/phase5/capture-legacy-web-oracle.sh	retain-evidence	Documents why the Phase 5b capture skips the SOAP context and cites the frozen xfire-v1 contract tree that already covers it.
scripts/phase5/generate-request-vectors.sh	retain-evidence	Documents why /ADInterface is omitted from the generated Phase 5b request vectors and cites the frozen xfire-v1 contract tree.
