# Phase 5g-0: every AD_Process in the seed dictionary, classified by how
# it executes.
#
# Only `java-process` rows are eligible for the Phase 5g-1e write/process
# fixture. `report` rows belong to Phase 5g-2, `workflow` rows to the
# document increments, and `declaration-only` rows execute nothing.
#
# Generated by scripts/phase5/generate-phase5g-inventories.py from
# db/ddlutils/adempiere-data.xml. Do not hand-edit.
ad_process_id	value	name	entity_type	is_active	execution_class	classname	procedure_name	reason
100	C_Year Create Periods	Create Periods	D	Y	java-process	org.compiere.process.YearCreatePeriods	-	Classname is set and no report/workflow overrides it
101	M_DiscountSchema_ReSeq	Renumber	D	Y	java-process	org.compiere.process.DiscountSchemaReSeq	-	Classname is set and no report/workflow overrides it
103	M_PriceList Create	Create Price List	D	Y	java-process	org.compiere.process.M_PriceList_Create	-	Classname is set and no report/workflow overrides it
104	C_Order Process	Process Order	D	Y	workflow	-	-	AD_Workflow_ID is set, so ProcessCtl starts a workflow
105	M_Inventory Create	Create Inventory Count List	D	Y	java-process	org.compiere.process.InventoryCountCreate	-	Classname is set and no report/workflow overrides it
106	M_Inventory Update	Update Quantity	D	Y	java-process	org.compiere.process.InventoryCountUpdate	-	Classname is set and no report/workflow overrides it
107	M_Inventory Process	Process Inventory Count	D	Y	workflow	-	-	AD_Workflow_ID is set, so ProcessCtl starts a workflow
108	C_AcctSchema_Default_Copy	Add or Copy Accounts	D	Y	java-process	org.compiere.process.AcctSchemaDefaultCopy	-	Classname is set and no report/workflow overrides it
109	M_InOut Process	Process Shipment	D	Y	workflow	-	-	AD_Workflow_ID is set, so ProcessCtl starts a workflow
110	Rpt C_Order	Order Print	D	Y	report	-	-	IsReport=Y or a JasperReport is declared
111	C_Invoice Process	Process Invoice	D	Y	workflow	-	-	AD_Workflow_ID is set, so ProcessCtl starts a workflow
112	C_BP_Group_Acct_Copy	Copy Accounts	D	Y	java-process	org.compiere.process.BPGroupAcctCopy	-	Classname is set and no report/workflow overrides it
113	AD_Window_Copy	Copy Window Tabs	D	Y	java-process	org.compiere.process.WindowCopy	-	Classname is set and no report/workflow overrides it
114	AD_Tab_Copy	Copy Tab Fields	D	Y	java-process	org.compiere.process.TabCopy	-	Classname is set and no report/workflow overrides it
115	M_Product_PO	Vendor Selection	D	Y	report	-	-	IsReport=Y or a JasperReport is declared
116	Rpt C_Invoice	Invoice Print	D	Y	report	-	-	IsReport=Y or a JasperReport is declared
117	Rpt M_InOut	Delivery Note / Shipment Print	D	Y	report	-	-	IsReport=Y or a JasperReport is declared
118	M_InOut_Generate	Generate Shipments	D	Y	java-process	org.compiere.process.InOutGenerate	-	Classname is set and no report/workflow overrides it
119	C_Invoice_Generate	Generate Invoices	D	Y	java-process	org.compiere.process.InvoiceGenerate	-	Classname is set and no report/workflow overrides it
120	RV_PP_Order_Transactions	Order Transactions	EE01	Y	report	-	-	IsReport=Y or a JasperReport is declared
121	RV_Order_Open	Open Orders	D	Y	report	-	-	IsReport=Y or a JasperReport is declared
122	M_Movement_Process	Process Movements	D	Y	workflow	-	-	AD_Workflow_ID is set, so ProcessCtl starts a workflow
123	C_Commission_Process	Generate Commission	D	Y	java-process	org.compiere.process.CommissionCalc	-	Classname is set and no report/workflow overrides it
124	RV_M_Transaction_Sum	Product Transaction Summary	D	Y	report	-	-	IsReport=Y or a JasperReport is declared
